net_number,Species,obs_yr,num_birds,perc_species
1,EAPH,2009,1,0.7936507936507936
1,EAPH,2011,2,3.076923076923077
1,EAPH,2012,1,1.7241379310344827
1,EAPH,2016,1,25
1,EAPH,2017,2,28.57142857142857
1,EAPH,2018,3,1.694915254237288
1,EAPH,2019,1,1.8518518518518516
1,EASO,2012,1,1.7241379310344827
1,EATO,2008,1,1.1627906976744187
1,EATO,2010,3,2.564102564102564
1,EATO,2011,3,4.615384615384616
1,EATO,2012,1,1.7241379310344827
1,EATO,2015,2,1.7391304347826086
1,EAWP,2015,1,0.8695652173913043
1,EWPW,2010,1,0.8547008547008548
1,EWPW,2013,1,3.0303030303030303
1,FISP,2007,1,0.7751937984496124
1,FISP,2008,1,1.1627906976744187
1,FISP,2009,3,2.380952380952381
1,FISP,2010,1,0.8547008547008548
1,FISP,2011,2,3.076923076923077
1,FISP,2013,2,6.0606060606060606
1,FISP,2015,1,0.8695652173913043
1,FISP,2018,3,1.694915254237288
1,FOSP,2012,1,1.7241379310344827
1,GCKI,2010,2,1.7094017094017095
1,GCKI,2011,1,1.5384615384615385
1,GRCA,2018,2,1.1299435028248588
1,HAWO,2010,1,0.8547008547008548
1,HETH,2009,1,0.7936507936507936
1,HETH,2010,1,0.8547008547008548
1,HETH,2011,1,1.5384615384615385
1,HETH,2012,3,5.172413793103448
1,HETH,2013,3,9.090909090909092
1,HETH,2018,1,0.5649717514124294
1,HOFI,2008,2,2.3255813953488373
1,HOFI,2010,3,2.564102564102564
1,HOFI,2012,1,1.7241379310344827
1,HOFI,2015,1,0.8695652173913043
1,HOFI,2018,5,2.824858757062147
1,HOFI,2020,1,6.666666666666667
1,HOWA,2008,1,1.1627906976744187
1,HOWA,2010,1,0.8547008547008548
1,HOWR,2017,1,14.285714285714285
1,INBU,2009,2,1.5873015873015872
1,INBU,2010,6,5.128205128205128
1,INBU,2011,4,6.153846153846154
1,INBU,2012,2,3.4482758620689653
1,INBU,2013,4,12.121212121212121
1,INBU,2014,6,25
1,INBU,2015,1,0.8695652173913043
1,KEWA,2011,1,1.5384615384615385
1,KEWA,2015,1,0.8695652173913043
1,LOWA,2018,1,0.5649717514124294
1,MODO,2018,1,0.5649717514124294
1,MODO,2019,2,3.7037037037037033
1,MYWA,2013,1,3.0303030303030303
1,NOCA,2007,1,0.7751937984496124
1,NOCA,2008,7,8.13953488372093
1,NOCA,2009,2,1.5873015873015872
1,NOCA,2010,6,5.128205128205128
1,NOCA,2011,8,12.307692307692308
1,NOCA,2012,4,6.896551724137931
1,NOCA,2013,2,6.0606060606060606
1,NOCA,2014,1,4.166666666666666
1,NOCA,2015,5,4.3478260869565215
1,NOCA,2018,9,5.084745762711865
1,NOCA,2019,3,5.555555555555555
1,NOCA,2020,2,13.333333333333334
1,PISI,2008,21,24.418604651162788
1,PISI,2009,61,48.41269841269841
1,PISI,2010,1,0.8547008547008548
1,PISI,2012,5,8.620689655172415
1,PISI,2013,6,18.181818181818183
1,PISI,2015,31,26.956521739130434
