net_number,Species,num_birds,perc_species
0,NOCA,1,NA
1,ACFL,3,0.2967359050445104
1,AMGO,168,16.61721068249258
1,AMRO,1,0.09891196834817012
1,BGGN,2,0.19782393669634024
1,BHCO,2,0.19782393669634024
1,BHNU,9,0.8902077151335311
1,BLGR,1,0.09891196834817012
1,BRTH,1,0.09891196834817012
1,CACH,139,13.748763600395646
1,CARW,51,5.044510385756676
1,CHSP,135,13.353115727002967
1,COYE,3,0.2967359050445104
1,DOWO,4,0.3956478733926805
1,EAPH,12,1.1869436201780417
1,EASO,1,0.09891196834817012
1,EATO,10,0.9891196834817012
1,EAWP,1,0.09891196834817012
1,EWPW,2,0.19782393669634024
1,FISP,14,1.3847675568743818
1,FOSP,1,0.09891196834817012
1,GCKI,3,0.2967359050445104
1,GRCA,2,0.19782393669634024
1,HAWO,1,0.09891196834817012
1,HETH,10,0.9891196834817012
1,HOFI,13,1.2858555885262115
1,HOWA,2,0.19782393669634024
1,HOWR,1,0.09891196834817012
1,INBU,25,2.472799208704253
1,KEWA,2,0.19782393669634024
1,LOWA,1,0.09891196834817012
1,MODO,3,0.2967359050445104
1,MYWA,1,0.09891196834817012
1,NOCA,50,4.945598417408506
1,PISI,128,12.660731948565775
1,PIWA,6,0.5934718100890208
1,PRAW,7,0.6923837784371909
1,PUFI,8,0.791295746785361
1,RBGR,5,0.4945598417408506
1,RBNU,15,1.483679525222552
1,RCKI,10,0.9891196834817012
1,REVI,2,0.19782393669634024
1,SAVS,1,0.09891196834817012
1,SCJU,20,1.9782393669634024
1,SOSP,30,2.967359050445104
1,SUTA,3,0.2967359050445104
1,SWSP,4,0.3956478733926805
1,TUTI,64,6.330365974282888
1,WBNU,1,0.09891196834817012
1,WEVI,7,0.6923837784371909
1,WPWA,8,0.791295746785361
1,WTSP,9,0.8902077151335311
1,YBCH,7,0.6923837784371909
1,YBSA,1,0.09891196834817012
1,YSFL,1,0.09891196834817012
2,AMGO,8,3.463203463203463
2,BAWW,1,0.4329004329004329
2,BDOW,1,0.4329004329004329
2,BGGN,1,0.4329004329004329
2,BHNU,2,0.8658008658008658
2,BRTH,1,0.4329004329004329
2,CACH,20,8.658008658008658
2,CARW,14,6.0606060606060606
2,CHSP,6,2.5974025974025974
2,COYE,13,5.627705627705628
2,CSWA,1,0.4329004329004329
2,DOWO,5,2.1645021645021645
2,EAPH,5,2.1645021645021645
2,EASO,6,2.5974025974025974
2,EATO,4,1.7316017316017316
2,EAWP,1,0.4329004329004329
2,FISP,13,5.627705627705628
2,GCKI,1,0.4329004329004329
2,GRCA,2,0.8658008658008658
2,HETH,2,0.8658008658008658
2,HOWR,2,0.8658008658008658
2,INBU,2,0.8658008658008658
2,KEWA,1,0.4329004329004329
2,MAWA,1,0.4329004329004329
2,MYWA,12,5.194805194805195
2,NOCA,23,9.956709956709958
2,NOPA,1,0.4329004329004329
2,NSWO,19,8.225108225108226
2,PIWA,2,0.8658008658008658
2,RBWO,2,0.8658008658008658
2,RCKI,2,0.8658008658008658
2,SCJU,5,2.1645021645021645
2,SOSP,11,4.761904761904762
2,SWSP,2,0.8658008658008658
2,TUTI,21,9.090909090909092
2,VEER,1,0.4329004329004329
2,WBNU,4,1.7316017316017316
2,WEVI,3,1.2987012987012987
2,WTSP,9,3.896103896103896
2,YPWA,1,0.4329004329004329
3,ACFL,3,0.5586592178770949
3,AMGO,6,1.1173184357541899
3,AMRO,1,0.186219739292365
3,BGGN,1,0.186219739292365
3,BHCO,4,0.74487895716946
3,BLGR,10,1.86219739292365
3,CACH,4,0.74487895716946
3,CARW,17,3.165735567970205
3,CHSP,84,15.64245810055866
3,COGD,1,0.186219739292365
3,COYE,6,1.1173184357541899
3,DOWO,1,0.186219739292365
3,EABL,4,0.74487895716946
3,EAPH,18,3.35195530726257
3,EASO,2,0.37243947858473
3,EAWP,3,0.5586592178770949
3,EWCS,1,0.186219739292365
3,FISP,49,9.124767225325884
3,GRCA,3,0.5586592178770949
3,HETH,1,0.186219739292365
3,HOFI,1,0.186219739292365
3,HOWR,3,0.5586592178770949
3,INBU,35,6.517690875232775
3,MYWA,4,0.74487895716946
3,NOCA,20,3.7243947858473
3,NOWA,1,0.186219739292365
3,NSWO,3,0.5586592178770949
3,OROR,3,0.5586592178770949
3,PIWA,24,4.4692737430167595
3,PRAW,6,1.1173184357541899
3,RCKI,8,1.48975791433892
3,RWBL,5,0.931098696461825
3,SAVS,20,3.7243947858473
3,SOSP,80,14.8975791433892
3,SUTA,1,0.186219739292365
3,SWSP,30,5.58659217877095
3,TEWA,1,0.186219739292365
3,TUTI,4,0.74487895716946
3,VESP,3,0.5586592178770949
3,WEVI,3,0.5586592178770949
3,WPWA,57,10.614525139664805
3,WTSP,2,0.37243947858473
3,YBCH,2,0.37243947858473
3,YBSA,2,0.37243947858473
4,ACFL,3,0.19933554817275745
4,AMGO,28,1.8604651162790697
4,AMRO,4,0.26578073089701
4,BDOW,1,0.0664451827242525
4,BGGN,19,1.2624584717607974
4,BHCO,1,0.0664451827242525
4,BHNU,2,0.132890365448505
4,BLGR,35,2.3255813953488373
4,BLJA,1,0.0664451827242525
4,BRTH,5,0.33222591362126247
4,CACH,22,1.4617940199335548
4,CARW,58,3.8538205980066444
4,CEDW,6,0.3986710963455149
4,CHSP,58,3.8538205980066444
4,COGR,3,0.19933554817275745
4,COYE,123,8.172757475083056
4,DOWO,17,1.1295681063122924
4,EABL,44,2.9235880398671097
4,EAKI,2,0.132890365448505
4,EAPH,147,9.767441860465116
4,EASO,9,0.5980066445182725
