net_number,Species,obs_yr,num_birds,perc_species
1,CACH,2007,1,25
1,EAPH,2011,1,50
1,PAWA,2018,1,100
1,SAVS,2021,1,100
1,SOSP,2007,2,50
1,SOSP,2011,1,50
1,SWSP,2007,1,25
1,SWSP,2013,2,100
2,COYE,2007,1,100
2,HOWR,2019,1,100
2,INBU,2010,1,100
3,AMGO,2008,1,1.5873015873015872
3,CARW,2008,1,1.5873015873015872
3,COYE,2009,2,18.181818181818183
3,EAPH,2008,2,3.1746031746031744
3,EAPH,2009,3,27.27272727272727
3,EAPH,2010,2,12.5
3,EWCS,2008,1,1.5873015873015872
3,FISP,2008,4,6.349206349206349
3,FISP,2013,1,100
3,HOWR,2008,1,1.5873015873015872
3,INBU,2009,1,9.090909090909092
3,OROR,2009,1,9.090909090909092
3,PAWA,2010,2,12.5
3,RWBL,2007,5,33.33333333333333
3,SAVS,2008,4,6.349206349206349
3,SAVS,2009,1,9.090909090909092
3,SAVS,2010,1,6.25
3,SOSP,2007,6,40
3,SOSP,2008,33,52.38095238095239
3,SOSP,2009,1,9.090909090909092
3,SOSP,2010,6,37.5
3,SWSP,2007,4,26.666666666666668
3,SWSP,2008,16,25.396825396825395
3,SWSP,2009,2,18.181818181818183
3,SWSP,2010,5,31.25
4,ACFL,2013,1,1.9607843137254901
4,ACFL,2014,1,1.098901098901099
4,AMGO,2010,8,9.411764705882353
4,AMGO,2014,1,1.098901098901099
4,AMGO,2015,1,1
4,AMGO,2016,9,7.258064516129033
4,AMGO,2018,3,2.2388059701492535
4,AMGO,2020,2,1.9417475728155338
4,AMGO,2021,1,1.1494252873563218
4,AMRO,2016,1,0.8064516129032258
4,AMRO,2017,1,0.9900990099009901
4,AMRO,2018,1,0.7462686567164178
4,BGGN,2009,3,4.615384615384616
4,BGGN,2011,1,1.6129032258064515
4,BGGN,2012,2,2.2222222222222223
4,BGGN,2014,1,1.098901098901099
4,BGGN,2015,1,1
4,BGGN,2016,4,3.225806451612903
4,BGGN,2017,1,0.9900990099009901
4,BGGN,2020,2,1.9417475728155338
4,BGGN,2021,2,2.2988505747126435
4,BHCO,2020,1,0.9708737864077669
4,BLGR,2009,3,4.615384615384616
4,BLGR,2010,1,1.1764705882352942
4,BLGR,2011,1,1.6129032258064515
4,BLGR,2012,6,6.666666666666667
4,BLGR,2013,2,3.9215686274509802
4,BLGR,2015,4,4
4,BLGR,2016,1,0.8064516129032258
4,BLGR,2017,2,1.9801980198019802
4,BLGR,2018,4,2.9850746268656714
4,BLGR,2019,1,1.2345679012345678
4,BLGR,2020,4,3.8834951456310676
4,BRTH,2014,1,1.098901098901099
4,BRTH,2015,1,1
4,BRTH,2019,1,1.2345679012345678
4,BRTH,2020,2,1.9417475728155338
4,CACH,2010,2,2.3529411764705883
4,CACH,2012,3,3.3333333333333335
4,CACH,2013,1,1.9607843137254901
4,CACH,2014,1,1.098901098901099
4,CACH,2015,2,2
4,CACH,2016,3,2.4193548387096775
4,CACH,2017,2,1.9801980198019802
4,CACH,2020,1,0.9708737864077669
4,CARW,2007,1,12.5
4,CARW,2008,1,2.941176470588235
4,CARW,2009,4,6.153846153846154
4,CARW,2010,1,1.1764705882352942
4,CARW,2011,2,3.225806451612903
4,CARW,2012,2,2.2222222222222223
4,CARW,2013,2,3.9215686274509802
4,CARW,2014,7,7.6923076923076925
4,CARW,2015,10,10
4,CARW,2016,4,3.225806451612903
4,CARW,2017,3,2.9702970297029703
4,CARW,2018,2,1.4925373134328357
4,CARW,2019,3,3.7037037037037033
4,CARW,2020,4,3.8834951456310676
4,CARW,2021,3,3.4482758620689653
4,CEDW,2010,2,2.3529411764705883
4,CEDW,2015,1,1
4,CEDW,2018,3,2.2388059701492535
4,CHSP,2015,1,1
4,CHSP,2016,1,0.8064516129032258
4,CHSP,2017,1,0.9900990099009901
4,CHSP,2018,1,0.7462686567164178
4,CHSP,2021,9,10.344827586206897
4,COGR,2010,1,1.1764705882352942
4,COGR,2017,2,1.9801980198019802
4,COYE,2007,1,12.5
4,COYE,2008,4,11.76470588235294
4,COYE,2009,4,6.153846153846154
4,COYE,2010,10,11.76470588235294
4,COYE,2011,9,14.516129032258066
4,COYE,2012,9,10
4,COYE,2013,7,13.725490196078432
4,COYE,2014,18,19.78021978021978
4,COYE,2015,9,9
4,COYE,2016,2,1.6129032258064515
4,COYE,2017,8,7.920792079207921
4,COYE,2018,14,10.44776119402985
4,COYE,2019,9,11.11111111111111
4,COYE,2020,5,4.854368932038835
4,COYE,2021,5,5.747126436781609
4,DOWO,2010,2,2.3529411764705883
4,DOWO,2012,2,2.2222222222222223
4,DOWO,2013,2,3.9215686274509802
4,DOWO,2014,2,2.197802197802198
4,DOWO,2016,3,2.4193548387096775
4,DOWO,2018,1,0.7462686567164178
4,DOWO,2019,1,1.2345679012345678
4,DOWO,2021,1,1.1494252873563218
4,EABL,2007,2,25
4,EABL,2009,1,1.5384615384615385
4,EABL,2010,7,8.235294117647058
4,EABL,2013,1,1.9607843137254901
4,EABL,2014,4,4.395604395604396
4,EABL,2015,4,4
4,EABL,2016,6,4.838709677419355
4,EABL,2017,7,6.9306930693069315
4,EABL,2018,7,5.223880597014925
4,EABL,2019,1,1.2345679012345678
4,EABL,2020,3,2.912621359223301
4,EABL,2021,1,1.1494252873563218
4,EAKI,2018,1,0.7462686567164178
4,EAKI,2020,1,0.9708737864077669
4,EAPH,2008,3,8.823529411764707
4,EAPH,2009,18,27.692307692307693
4,EAPH,2010,5,5.88235294117647
4,EAPH,2011,5,8.064516129032258
4,EAPH,2012,7,7.777777777777778
4,EAPH,2013,6,11.76470588235294
4,EAPH,2014,5,5.4945054945054945
4,EAPH,2015,3,3
4,EAPH,2016,20,16.129032258064516
4,EAPH,2017,6,5.9405940594059405
4,EAPH,2018,19,14.17910447761194
