obs_yr,Species,tot_birds,bpnh
2015,EABL,18,0.012621570263580458
2015,EAPH,23,0.016127562003463918
2015,FISP,89,0.0624066529699256
2015,INBU,75,0.05258987609825191
2015,NOCA,7,0.0049083884358368446
2015,NOMO,37,0.02594433887513761
2015,PAWA,29,0.02033475209132407
2015,SAVS,10,0.007011983479766921
2015,SOSP,139,0.0974665703687602
2015,SWSP,188,0.13182528941961813
2015,YBCH,22,0.015426363655487227
2016,AMGO,18,0.014013671114709683
2016,BLGR,12,0.009342447409806455
2016,CARW,24,0.01868489481961291
2016,COYE,54,0.04204101334412905
2016,EABL,23,0.017906357535462374
2016,EAPH,86,0.06695420643694626
2016,FISP,132,0.102766921507871
2016,INBU,77,0.05994737087959142
2016,NOCA,11,0.008563910125655917
2016,NOMO,29,0.022577581240365602
2016,PAWA,35,0.027248804945268826
2016,SAVS,29,0.022577581240365602
2016,SOSP,121,0.0942030113822151
2016,SWSP,154,0.11989474175918284
2016,YBCH,21,0.016349282967161295
2017,AMGO,14,0.012003463856712937
2017,BLGR,15,0.012860854132192434
2017,CARW,12,0.010288683305753946
2017,COYE,46,0.0394399526720568
2017,EABL,29,0.02486431798890537
2017,EAPH,80,0.06859122203835964
2017,FISP,75,0.06430427066096217
2017,INBU,51,0.04372690404945427
2017,NOCA,18,0.01543302495863092
2017,NOMO,12,0.010288683305753946
2017,PAWA,73,0.06258949011000317
2017,SAVS,39,0.03343822074370033
2017,SOSP,97,0.08316685672151107
2017,SWSP,106,0.09088336920082653
2017,YBCH,6,0.005144341652876973
2018,AMGO,42,0.029968746878255532
2018,BLGR,15,0.01070312388509126
2018,CARW,10,0.0071354159233941745
2018,COYE,82,0.05851041057183223
2018,EABL,63,0.0449531203173833
2018,EAPH,91,0.064932284902887
2018,FISP,95,0.06778645127224465
2018,INBU,129,0.09204686541178485
2018,NOCA,12,0.00856249910807301
2018,NOMO,37,0.026401038916558445
2018,PAWA,136,0.09704165655816077
2018,SAVS,26,0.018552081400824854
2018,SOSP,139,0.09918228133517902
2018,SWSP,140,0.09989582292751845
2018,YBCH,1,7.135415923394175e-4
2019,AMGO,11,0.009300988441408
2019,BLGR,14,0.01183762165270109
2019,CARW,12,0.010146532845172364
2019,COYE,72,0.06087919707103418
2019,EABL,34,0.028748509727988363
2019,EAPH,76,0.06426137468609164
2019,FISP,58,0.04904157541833309
2019,INBU,55,0.04650494220704
2019,NOCA,22,0.018601976882816
2019,NOMO,33,0.027902965324224
2019,PAWA,26,0.021984154497873453
2019,SAVS,37,0.03128514293928145
2019,SOSP,122,0.10315641725925237
2019,SWSP,104,0.08793661799149381
2020,AMGO,18,0.012120477546815346
2020,BLGR,15,0.010100397955679455
2020,CARW,22,0.0148139170016632
2020,COYE,114,0.07676302446316385
2020,EABL,9,0.006060238773407673
2020,EAPH,50,0.03366799318559818
2020,FISP,75,0.050501989778397274
2020,INBU,40,0.026934394548478544
2020,NOCA,7,0.004713519045983746
2020,NOMO,10,0.006733598637119636
2020,PAWA,37,0.024914314957342653
2020,SAVS,14,0.009427038091967491
2020,SOSP,142,0.09561710064709883
2020,SWSP,189,0.12726501424156111
2020,YBCH,13,0.008753678228255526
2021,AMGO,11,0.007061602855455409
2021,BLGR,8,0.005135711167603934
2021,CARW,20,0.012839277919009835
2021,COYE,74,0.04750532830033639
2021,EABL,14,0.008987494543306884
2021,EAPH,54,0.03466605038132655
2021,FISP,62,0.03980176154893049
2021,INBU,37,0.023752664150168194
2021,NOCA,14,0.008987494543306884
2021,NOMO,22,0.014123205710910818
2021,PAWA,65,0.041727653236781966
2021,SAVS,30,0.01925891687851475
2021,SOSP,147,0.09436869270472228
2021,SWSP,133,0.0853811981614154
2021,YBCH,12,0.0077035667514059
